periodyear,naicstitle,planning.region,wage.type,wages
2016,Food Manufacturing,Southwest Minnesota,totwageYear,515807028
2016,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",Southwest Minnesota,totwageYear,356449
2016,Farm Product Raw Material Merchant Wholesalers,Southwest Minnesota,totwageYear,101569975
2016,Farm Supplies Merchant Wholesalers,Southwest Minnesota,totwageYear,85580289
2015,"Total, All Industries",Southwest Minnesota,totwageYear,6712923151
2015,Crop Production,Southwest Minnesota,totwageYear,29740093
2015,Animal Production and Aquaculture,Southwest Minnesota,totwageYear,151881963
2015,Support Activities for Crop Production,Southwest Minnesota,totwageYear,15789905
2015,Support Activities for Animal Production,Southwest Minnesota,totwageYear,1828572
2015,Food Manufacturing,Southwest Minnesota,totwageYear,493663440
2015,Agricultural Implement Manufacturing,Southwest Minnesota,totwageYear,28402821
2015,Farm Product Raw Material Merchant Wholesalers,Southwest Minnesota,totwageYear,104465819
2015,Farm Supplies Merchant Wholesalers,Southwest Minnesota,totwageYear,76990746
2014,"Total, All Industries",Southwest Minnesota,totwageYear,6457933616
2014,Crop Production,Southwest Minnesota,totwageYear,25605287
2014,Animal Production and Aquaculture,Southwest Minnesota,totwageYear,138269357
2014,Support Activities for Crop Production,Southwest Minnesota,totwageYear,14988825
2014,Support Activities for Animal Production,Southwest Minnesota,totwageYear,1792394.5
2014,Food Manufacturing,Southwest Minnesota,totwageYear,446746643
2014,Farm Product Raw Material Merchant Wholesalers,Southwest Minnesota,totwageYear,99648614
2014,Farm Supplies Merchant Wholesalers,Southwest Minnesota,totwageYear,73284004
2013,"Total, All Industries",Southwest Minnesota,totwageYear,6215873470
2013,Crop Production,Southwest Minnesota,totwageYear,21692592
2013,Animal Production and Aquaculture,Southwest Minnesota,totwageYear,123430535
2013,Support Activities for Crop Production,Southwest Minnesota,totwageYear,18467335
2013,Food Manufacturing,Southwest Minnesota,totwageYear,439021458
2013,Farm Product Raw Material Merchant Wholesalers,Southwest Minnesota,totwageYear,174316621
2013,Farm Supplies Merchant Wholesalers,Southwest Minnesota,totwageYear,77914514
2012,"Total, All Industries",Southwest Minnesota,totwageYear,5998637409
2012,Crop Production,Southwest Minnesota,totwageYear,19346666
2012,Animal Production and Aquaculture,Southwest Minnesota,totwageYear,113464643
2012,Support Activities for Crop Production,Southwest Minnesota,totwageYear,21143425
2012,Support Activities for Animal Production,Southwest Minnesota,totwageYear,1564105
2012,Food Manufacturing,Southwest Minnesota,totwageYear,428913567
2012,Farm Product Raw Material Merchant Wholesalers,Southwest Minnesota,totwageYear,93030248
2012,Farm Supplies Merchant Wholesalers,Southwest Minnesota,totwageYear,75189957
2011,"Total, All Industries",Southwest Minnesota,totwageYear,5750188383
2011,Crop Production,Southwest Minnesota,totwageYear,15054711
2011,Animal Production and Aquaculture,Southwest Minnesota,totwageYear,100014127
2011,Support Activities for Crop Production,Southwest Minnesota,totwageYear,19688370
2011,Food Manufacturing,Southwest Minnesota,totwageYear,423349499
2011,Farm Product Raw Material Merchant Wholesalers,Southwest Minnesota,totwageYear,92020841
2011,Farm Supplies Merchant Wholesalers,Southwest Minnesota,totwageYear,71009963
2010,"Total, All Industries",Southwest Minnesota,totwageYear,5564632862
2010,Crop Production,Southwest Minnesota,totwageYear,12735551
2010,Animal Production and Aquaculture,Southwest Minnesota,totwageYear,100098220
2010,Support Activities for Crop Production,Southwest Minnesota,totwageYear,17614742
2010,Food Manufacturing,Southwest Minnesota,totwageYear,408015387
2010,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",Southwest Minnesota,totwageYear,99790
2010,Farm Product Raw Material Merchant Wholesalers,Southwest Minnesota,totwageYear,88714863
2010,Farm Supplies Merchant Wholesalers,Southwest Minnesota,totwageYear,90398836
2009,"Total, All Industries",Southwest Minnesota,totwageYear,5458067945
2009,Crop Production,Southwest Minnesota,totwageYear,11713733
2009,Animal Production and Aquaculture,Southwest Minnesota,totwageYear,102554406
2009,Support Activities for Crop Production,Southwest Minnesota,totwageYear,16789767
2009,Food Manufacturing,Southwest Minnesota,totwageYear,388256251
2009,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",Southwest Minnesota,totwageYear,214622
2009,Farm Product Raw Material Merchant Wholesalers,Southwest Minnesota,totwageYear,82222927
2009,Farm Supplies Merchant Wholesalers,Southwest Minnesota,totwageYear,69569614
2008,"Total, All Industries",Southwest Minnesota,totwageYear,5598113047
2008,Crop Production,Southwest Minnesota,totwageYear,11444938
2008,Animal Production and Aquaculture,Southwest Minnesota,totwageYear,95829328
2008,Support Activities for Crop Production,Southwest Minnesota,totwageYear,13796793
2008,Food Manufacturing,Southwest Minnesota,totwageYear,367480790
2008,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",Southwest Minnesota,totwageYear,264061.5
2008,Farm Product Raw Material Merchant Wholesalers,Southwest Minnesota,totwageYear,76919659
2008,Farm Supplies Merchant Wholesalers,Southwest Minnesota,totwageYear,74585538
2007,"Total, All Industries",Southwest Minnesota,totwageYear,5348227884
2007,Crop Production,Southwest Minnesota,totwageYear,9952578
2007,Animal Production and Aquaculture,Southwest Minnesota,totwageYear,91629807
2007,Support Activities for Crop Production,Southwest Minnesota,totwageYear,11321709
2007,Food Manufacturing,Southwest Minnesota,totwageYear,344933240
2007,Farm Product Raw Material Merchant Wholesalers,Southwest Minnesota,totwageYear,69315085
2007,Farm Supplies Merchant Wholesalers,Southwest Minnesota,totwageYear,61079839
2006,"Total, All Industries",Southwest Minnesota,totwageYear,5203936206
2006,Crop Production,Southwest Minnesota,totwageYear,9234530
2006,Animal Production and Aquaculture,Southwest Minnesota,totwageYear,83434061
2006,Support Activities for Crop Production,Southwest Minnesota,totwageYear,9887376
2006,Food Manufacturing,Southwest Minnesota,totwageYear,335767457
2006,Farm Product Raw Material Merchant Wholesalers,Southwest Minnesota,totwageYear,63976431
2006,Farm Supplies Merchant Wholesalers,Southwest Minnesota,totwageYear,54578558
2005,"Total, All Industries",Southwest Minnesota,totwageYear,4928352268
2005,Crop Production,Southwest Minnesota,totwageYear,8264372
2005,Animal Production and Aquaculture,Southwest Minnesota,totwageYear,80657372
2005,Support Activities for Crop Production,Southwest Minnesota,totwageYear,7734698
2005,Support Activities for Animal Production,Southwest Minnesota,totwageYear,576109
2005,Food Manufacturing,Southwest Minnesota,totwageYear,338348685
2005,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",Southwest Minnesota,totwageYear,304407
2005,Farm Product Raw Material Merchant Wholesalers,Southwest Minnesota,totwageYear,60640278
2005,Farm Supplies Merchant Wholesalers,Southwest Minnesota,totwageYear,54855385
2004,"Total, All Industries",Southwest Minnesota,totwageYear,4797101744
2004,Crop Production,Southwest Minnesota,totwageYear,8513653
2004,Animal Production and Aquaculture,Southwest Minnesota,totwageYear,75519379
2004,Support Activities for Crop Production,Southwest Minnesota,totwageYear,7408334
2004,Support Activities for Animal Production,Southwest Minnesota,totwageYear,2595108
2004,Food Manufacturing,Southwest Minnesota,totwageYear,331223925
2004,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",Southwest Minnesota,totwageYear,255037
2004,Farm Product Raw Material Merchant Wholesalers,Southwest Minnesota,totwageYear,59303193
2004,Farm Supplies Merchant Wholesalers,Southwest Minnesota,totwageYear,53961747
2003,"Total, All Industries",Southwest Minnesota,totwageYear,4591449549
2003,Crop Production,Southwest Minnesota,totwageYear,8168576
2003,Animal Production and Aquaculture,Southwest Minnesota,totwageYear,67883733
2003,Support Activities for Crop Production,Southwest Minnesota,totwageYear,6415889
2003,Support Activities for Animal Production,Southwest Minnesota,totwageYear,2826457
2003,Food Manufacturing,Southwest Minnesota,totwageYear,323301634
2003,Farm Product Raw Material Merchant Wholesalers,Southwest Minnesota,totwageYear,54980823
2003,Farm Supplies Merchant Wholesalers,Southwest Minnesota,totwageYear,67688294
2002,"Total, All Industries",Southwest Minnesota,totwageYear,4479445828
2002,Crop Production,Southwest Minnesota,totwageYear,7915214
2002,Animal Production and Aquaculture,Southwest Minnesota,totwageYear,64553406
2002,Support Activities for Crop Production,Southwest Minnesota,totwageYear,5984557
2002,Support Activities for Animal Production,Southwest Minnesota,totwageYear,2617651
2002,Food Manufacturing,Southwest Minnesota,totwageYear,392886167
2002,Farm Product Raw Material Merchant Wholesalers,Southwest Minnesota,totwageYear,51734428
2002,Farm Supplies Merchant Wholesalers,Southwest Minnesota,totwageYear,64310043
2001,"Total, All Industries",Southwest Minnesota,totwageYear,4332400061
2001,Crop Production,Southwest Minnesota,totwageYear,8556861
2001,Animal Production and Aquaculture,Southwest Minnesota,totwageYear,60538521
2001,Support Activities for Crop Production,Southwest Minnesota,totwageYear,6720623
2001,Support Activities for Animal Production,Southwest Minnesota,totwageYear,2320208
2001,Food Manufacturing,Southwest Minnesota,totwageYear,366364326
2001,Farm Product Raw Material Merchant Wholesalers,Southwest Minnesota,totwageYear,51613648
2001,Farm Supplies Merchant Wholesalers,Southwest Minnesota,totwageYear,58298888
